study_id,report_pmid,arm,site,grafted,timepoint_months,n,mean_mbl,sd_mbl,nominal_length_mm,diameter_mm,platform_level,collar_height_mm,endosseous_length_mm,measured_from,flags
gulje-maxilla-6v11,25237669,short,maxilla,ungrafted,12,21,0.1,0.2,6,4.0,bone,0,6,loading,
gulje-maxilla-6v11,25237669,long,maxilla,ungrafted,12,19,0.1,0.3,11,4.0,bone,0,11,loading,
gulje-maxilla-6v11,31535100,short,maxilla,ungrafted,12,20,0.10,0.20,6,4.0,bone,0,6,loading,
gulje-maxilla-6v11,31535100,long,maxilla,ungrafted,12,17,0.04,0.33,11,4.0,bone,0,11,loading,
gulje-maxilla-6v11,31535100,short,maxilla,ungrafted,60,18,0.12,0.36,6,4.0,bone,0,6,loading,
gulje-maxilla-6v11,31535100,long,maxilla,ungrafted,60,17,0.14,0.63,11,4.0,bone,0,11,loading,
gulje-maxilla-6v11,37941089,short,maxilla,ungrafted,12,21,0.11,0.412,6,4.0,bone,0,6,loading,derived-se(x sqrt n)
gulje-maxilla-6v11,37941089,long,maxilla,ungrafted,12,19,0.02,0.436,11,4.0,bone,0,11,loading,derived-se(x sqrt n)
gulje-maxilla-6v11,37941089,short,maxilla,ungrafted,60,19,0.14,0.360,6,4.0,bone,0,6,loading,"derived-borrowed(from 60m, same trial/arm)"
gulje-maxilla-6v11,37941089,long,maxilla,ungrafted,60,19,0.12,0.630,11,4.0,bone,0,11,loading,"derived-borrowed(from 60m, same trial/arm)"
gulje-maxilla-6v11,37941089,short,maxilla,ungrafted,120,17,0.18,0.360,6,4.0,bone,0,6,loading,"derived-borrowed(from 60m, same trial/arm)"
gulje-maxilla-6v11,37941089,long,maxilla,ungrafted,120,10,0.26,0.630,11,4.0,bone,0,11,loading,"derived-borrowed(from 60m, same trial/arm)"
1,24570980,short,mandible,ungrafted,0,20,0.45,0.04,5.0,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,long,mandible,grafted,0,18,0.46,0.05,,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,short,maxilla,ungrafted,0,19,0.46,0.05,5.0,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,long,maxilla,grafted,0,19,0.58,0.05,,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,short,mandible,ungrafted,12,20,0.94,0.05,5.0,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,long,mandible,grafted,12,18,1.03,0.07,,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,short,maxilla,ungrafted,12,19,0.87,0.07,5.0,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,24570980,long,maxilla,grafted,12,19,1.15,0.12,,5.0,variant-dependent,,,implant collar margin to first bone-implant contact (UTHSCSA Image Tool),
1,29557400,short,mandible,ungrafted,36,18,1.1,0.050,5.0,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,29557400,long,mandible,grafted,36,18,1.39,0.070,,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,29557400,short,maxilla,ungrafted,36,19,1.04,0.070,5.0,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,29557400,long,maxilla,grafted,36,18,1.43,0.120,,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,31116187,short,mandible,ungrafted,60,16,1.22,0.050,5.0,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,31116187,long,mandible,grafted,60,14,1.7,0.070,,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,31116187,short,maxilla,ungrafted,60,17,1.25,0.070,5.0,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
1,31116187,long,maxilla,grafted,60,17,1.73,0.120,,5.0,variant-dependent,,,not stated in abstract,"derived-borrowed(from 12m, same trial/arm)"
doi_10_4322_bds_2026_e49,,short,mixed,ungrafted,60,19,0.58,0.49,"5mm (n=4) / 6mm (n=16), mixed - SINGLE ARM, no long comparator exists anywhere in this report","4-6mm mixed per-implant (Table I lists e.g. 5x5, 5x6, 6x6, 4x6mm diam x length)",bone,0,,surgery,sign-flipped(neg=loss convention)
W2092702732,25757870,short,maxilla,ungrafted,12,64,0.97,0.449,"7.0mm (n=3) and 8.5mm (n=71), pooled as 'short' per study's own 3-way length stratification (short<=8.5mm; regular 10-13mm; long 15-18mm) - FLAG: 3-arm length design, not a simple short/long binary","4.0mm (all arms - NobelSpeedy system uniform diameter across all lengths, Fig.1)",bone,0.3,,surgery,derived-ci
W2092702732,25757870,mid,maxilla,ungrafted,12,17,0.82,0.421,"10mm (n=7), 11.5mm (n=4), 13mm (n=14) pooled as 'regular/mid' per study's own terminology - FLAG: this is the study's OWN middle category in a 3-arm length design (short/regular/long), not this extraction's usual short/long binary",4.0mm,bone,0.3,,surgery,derived-ci
W2092702732,25757870,long,maxilla,ungrafted,12,54,0.87,0.375,15mm (n=37) and 18mm (n=36) pooled as 'long' per study's own terminology,4.0mm,bone,0.3,,surgery,derived-ci
W2092702732,25757870,short,maxilla,ungrafted,36,23,1.25,0.502,7.0mm/8.5mm pooled 'short' (as above) - FLAG 3-arm design,4.0mm,bone,0.3,,surgery,derived-ci
W2092702732,25757870,mid,maxilla,ungrafted,36,6,0.87,0.421,10/11.5/13mm pooled 'regular/mid' - FLAG 3-arm design,4.0mm,bone,0.3,,surgery,"derived-borrowed(from 12m, same trial/arm)"
W2092702732,25757870,long,maxilla,ungrafted,36,32,0.98,0.375,15mm/18mm pooled 'long',4.0mm,bone,0.3,,surgery,"derived-borrowed(from 12m, same trial/arm)"
W2472880666,27402427,short,maxilla,ungrafted,12,45,0.146,0.099,6.0,mostly 5.0mm (62.2%); also 4.0/4.5/>5.0mm mixed - see Table 2 for full distribution,bone,0,6,surgery,derived-ci
W2472880666,27402427,long,maxilla,ungrafted,12,43,0.210,0.114,"10.0mm(n=5)/11.5mm(n=24)/13.0mm(n=11)/15.0mm(n=5) mixed, weighted mean ~11.8mm",mostly 4.0-4.5mm (84.5% combined); also 5.0/>5.0mm - see Table 2,bone,0,,surgery,derived-ci
W2472880666,27402427,short,maxilla,ungrafted,36,44,0.201,0.118,6.0,mostly 5.0mm (62.2%); mixed - see Table 2,bone,0,6,surgery,derived-ci
W2472880666,27402427,long,maxilla,ungrafted,36,43,0.273,0.135,"10.0/11.5/13.0/15.0mm mixed, weighted mean ~11.8mm",mostly 4.0-4.5mm; mixed - see Table 2,bone,0,,surgery,derived-ci
W2946709552,31124147,short,maxilla,ungrafted,12,74,0.51,0.23,6.0,"mixed 4.1mm (n=30) and 4.8mm (n=42), see Table 1",tissue,1.8,6,prosthesis,
W2946709552,31124147,mid,maxilla,ungrafted,12,70,0.47,0.43,8.0,"mixed 4.1/4.8mm, see Table 1 (analogous distribution to short group)",tissue,1.8,8,prosthesis,
W2946709552,31124147,long,maxilla,ungrafted,12,73,0.52,0.26,10.0,"mixed 4.1(n=31)/4.8mm(n=40)/3.3mm(n=2), see Table 1",tissue,1.8,10,prosthesis,
W3129174852,33570787,short,maxilla,ungrafted,36,67,0.53,0.35,6.0,"mixed 4.1mm(n=29)/4.8mm(n=38), see Table 1 (3-yr subset)",tissue,1.8,6,prosthesis,
W3129174852,33570787,mid,maxilla,ungrafted,36,62,0.50,0.30,8.0,"mixed 4.1(n=35)/4.8mm(n=27), see Table 1",tissue,1.8,8,prosthesis,
W3129174852,33570787,long,maxilla,ungrafted,36,70,0.53,0.28,10.0,"mixed 4.1(n=30)/4.8mm(n=38)/3.3mm(n=2), see Table 1",tissue,1.8,10,prosthesis,
W4283588255,35821724,short,maxilla,ungrafted,42.1,97,0.70,0.72,"4.5-8.0mm range (study's own <=8mm test-group definition; exact per-implant length distribution not tabulated, only range given)",3.0-5.5mm range,,,,surgery,
W4283588255,35821724,long,maxilla,ungrafted,32.9,222,0.96,0.91,8.5-14.0mm range (exact per-implant distribution not tabulated),3.3-6.0mm range,,,,surgery,
felice-crestal-sinuslift,26669547,long,maxilla,ungrafted,-4,10,0.08,0.09,10.0,5.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,long,maxilla,ungrafted,0,10,0.45,0.14,10.0,5.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,long,maxilla,ungrafted,12,10,0.95,0.24,10.0,5.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,short,maxilla,ungrafted,-4,10,0.07,0.1,5.0,5.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,short,maxilla,ungrafted,0,10,0.39,0.2,5.0,5.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,short,maxilla,ungrafted,12,10,0.78,0.16,5.0,5.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,26669547,long,maxilla,ungrafted,0,10,,0.095,,,,,,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",derived-se(x sqrt n)
felice-crestal-sinuslift,26669547,long,maxilla,ungrafted,12,10,,0.190,,,,,,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",derived-se(x sqrt n)
felice-crestal-sinuslift,26669547,short,maxilla,ungrafted,0,10,,0.190,,,,,,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",derived-se(x sqrt n)
felice-crestal-sinuslift,26669547,short,maxilla,ungrafted,12,10,,0.190,,,,,,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",derived-se(x sqrt n)
felice-crestal-sinuslift,29234746,short,maxilla,ungrafted,36,10,0.89,0.25,5.0,5.0,bone,0,5,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
felice-crestal-sinuslift,29234746,long,maxilla,ungrafted,36,8,1.08,0.29,10.0,5.0,bone,0,10,"most coronal margin of implant collar to most coronal bone-implant contact point, periapical radiograph, paralleling technique",
W2176962321,26431917,short,mandible,ungrafted,3,40,0.58,0.11,4,4.1,tissue,1.8,4,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2176962321,26431917,short,mandible,ungrafted,6,40,0.64,0.38,4,4.1,tissue,1.8,4,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2176962321,26431917,short,mandible,ungrafted,12,40,0.71,0.11,4,4.1,tissue,1.8,4,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2176962321,26431917,long,mandible,ungrafted,3,20,0.85,0.23,10,4.1,tissue,1.8,10,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2176962321,26431917,long,mandible,ungrafted,6,20,0.86,0.56,10,4.1,tissue,1.8,10,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2176962321,26431917,long,mandible,ungrafted,12,20,0.89,0.23,10,4.1,tissue,1.8,10,"Periapical/panoramic radiograph at day 0 (baseline, post-implant-placement) vs 3/6/12-month follow-up; mesial+distal vertical bone level averaged (method stated, exact reference point e.g. implant shoulder not further specified)",
W2904818928,30521662,short,mandible,ungrafted,4,23,0.28,0.29,6,,,,,"Periapical radiograph (paralleling technique) immediately after implant placement (S1/surgery, pre-loading baseline) vs 4-month and 1-year post-immediate-loading; mean of mesial+distal interproximal-bone-to-implant-abutment-interface distance per implant, by 2 independent examiners (ICC 0.98 intra-, 0.95 inter-examiner).",
W2904818928,30521662,short,mandible,ungrafted,12,23,0.33,0.47,6,,,,,"Periapical radiograph (paralleling technique) immediately after implant placement (S1/surgery, pre-loading baseline) vs 4-month and 1-year post-immediate-loading; mean of mesial+distal interproximal-bone-to-implant-abutment-interface distance per implant, by 2 independent examiners (ICC 0.98 intra-, 0.95 inter-examiner).",
W2904818928,30521662,long,mandible,ungrafted,4,23,0.25,0.25,10,,,,,"Periapical radiograph (paralleling technique) immediately after implant placement (S1/surgery, pre-loading baseline) vs 4-month and 1-year post-immediate-loading; mean of mesial+distal interproximal-bone-to-implant-abutment-interface distance per implant, by 2 independent examiners (ICC 0.98 intra-, 0.95 inter-examiner).",
W2904818928,30521662,long,mandible,ungrafted,12,23,0.26,0.27,10,,,,,"Periapical radiograph (paralleling technique) immediately after implant placement (S1/surgery, pre-loading baseline) vs 4-month and 1-year post-immediate-loading; mean of mesial+distal interproximal-bone-to-implant-abutment-interface distance per implant, by 2 independent examiners (ICC 0.98 intra-, 0.95 inter-examiner).",
W3115183639,33374157,short,maxilla,ungrafted,3,35,,,6.25,4.2,,,6.25,"Peri-implant bone loss measured directly on periapical radiograph as the distance from the fixture-abutment connection to first bone contact, recorded at second-surgery/re-opening (~3 months) and again at 2 years; not explicitly described as a delta from a separate T0 baseline image (single-radiograph distance measurement at each visit, referenced to the fixture-abutment junction) - ambiguous whether this is a true longitudinal delta or two independent cross-sectional readings.",
W3115183639,33374157,short,maxilla,ungrafted,24,35,,,6.25,4.2,,,6.25,"Peri-implant bone loss measured directly on periapical radiograph as the distance from the fixture-abutment connection to first bone contact, recorded at second-surgery/re-opening (~3 months) and again at 2 years; not explicitly described as a delta from a separate T0 baseline image (single-radiograph distance measurement at each visit, referenced to the fixture-abutment junction) - ambiguous whether this is a true longitudinal delta or two independent cross-sectional readings.",
guida-fullarch-mandible,31605405,long,mandible,ungrafted,0,75,0.31,0.30,11,4,bone,0,11,"Periapical radiograph (Rinn Universal Collimator + Rinn film holder, long-cone paralleling), ImageJ 1.48a calibrated to inter-thread distance; reference = top of microthread implant region to most coronal bone-to-implant contact; mean of mesial+distal per implant; examiner (A.P.) blinded to group allocation via masked radiographs. Baseline = permanent full-arch prosthesis placement (~3 months after 2nd-stage surgery, ~6 months after implant placement).",
guida-fullarch-mandible,31605405,short,mandible,ungrafted,0,75,0.26,0.23,6,4,bone,0,6,same as above,
guida-fullarch-mandible,31605405,long,mandible,ungrafted,12,75,0.28,0.31,11,4,bone,0,11,same as above,
guida-fullarch-mandible,31605405,short,mandible,ungrafted,12,75,0.27,0.29,6,4,bone,0,6,same as above,
guida-fullarch-mandible,31605405,long,mandible,ungrafted,36,70,0.25,0.19,11,4,bone,0,11,same as above,
guida-fullarch-mandible,31605405,short,mandible,ungrafted,36,70,0.36,0.35,6,4,bone,0,6,same as above,
guida-fullarch-mandible,36461704,long,mandible,ungrafted,0,75,0.31,0.30,11,4,bone,0,11,"Same radiographic method as 31605405 (same trial, same protocol; examiner A.P. blinded via masked radiograms; ImageJ inter-thread calibration). Baseline = permanent full-arch prosthesis placement.",
guida-fullarch-mandible,36461704,short,mandible,ungrafted,0,75,0.26,0.23,6,4,bone,0,6,same as above,
guida-fullarch-mandible,36461704,long,mandible,ungrafted,60,70,0.40,0.23,11,4,bone,0,11,same as above,
guida-fullarch-mandible,36461704,short,mandible,ungrafted,60,65,0.30,0.31,6,4,bone,0,6,same as above,
guida-fullarch-mandible,, no independent full text),mixed,ungrafted,,,,,,,,,,,
zurich-6v10,26917439,short,mixed,ungrafted,0,,,,6,,tissue,1.8,6,surgery,
zurich-6v10,26917439,long,mixed,ungrafted,0,,,,10,,tissue,1.8,10,surgery,
zurich-6v10,26917439,short,mixed,ungrafted,12,,,,6,,tissue,1.8,6,loading,
zurich-6v10,26917439,long,mixed,ungrafted,12,,,,10,,tissue,1.8,10,loading,
zurich-6v10,26917439,short,mixed,ungrafted,24,,,,6,,tissue,1.8,6,loading,
zurich-6v10,26917439,long,mixed,ungrafted,24,,,,10,,tissue,1.8,10,loading,
zurich-6v10,26917439,short,mixed,ungrafted,36,,,,6,,tissue,1.8,6,loading,
zurich-6v10,26917439,long,mixed,ungrafted,36,,,,10,,tissue,1.8,10,loading,
zurich-6v10,26917439,short,mixed,ungrafted,36,40,-0.19,0.62,6,,tissue,1.8,6,loading,
zurich-6v10,26917439,long,mixed,ungrafted,36,38,-0.33,0.71,10,,tissue,1.8,10,loading,
zurich-6v10,29533729,short,mixed,ungrafted,60,,,,6,,,,6,loading,
zurich-6v10,29533729,long,mixed,ungrafted,60,,,,10,,,,10,loading,
zurich-6v10,37387401,short,mixed,ungrafted,120,,,,6,,,,6,loading,
zurich-6v10,37387401,long,mixed,ungrafted,120,,,,10,,,,10,loading,
W3172979183,34101342,short,maxilla,ungrafted,0,24,0.170,0.356,5.5,4.0/4.5/5.0 (mixed),,,5.5,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,long,maxilla,ungrafted,0,24,0.465,0.495,10,4.0/4.5/5.0 (mixed),,,10,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,short,maxilla,ungrafted,4,21,0.865,0.756,5.5,4.0/4.5/5.0 (mixed),,,5.5,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,long,maxilla,ungrafted,4,23,1.385,1.047,10,4.0/4.5/5.0 (mixed),,,10,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,short,maxilla,ungrafted,6,21,0.905,0.654,5.5,4.0/4.5/5.0 (mixed),,,5.5,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,long,maxilla,ungrafted,6,23,1.275,0.553,10,4.0/4.5/5.0 (mixed),,,10,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,short,maxilla,ungrafted,12,21,0.815,0.611,5.5,4.0/4.5/5.0 (mixed),,,5.5,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W3172979183,34101342,long,maxilla,ungrafted,12,23,1.285,0.628,10,4.0/4.5/5.0 (mixed),,,10,"Crestal bone level (CBL) measured from implant platform/shoulder to first bone-to-implant contact via standardized periapical radiographs (paralleling technique, customized radiographic stent), read at surgery ('Initial'), 4, 6 and 12 months. Short (US) implants' 1.5mm machined supracrestal collar was subtracted from all short-arm readings to avoid intergroup bias. NOTE: 'CBL' as tabulated is the raw crestal bone LEVEL (distance from platform to first contact) at each visit, not a pre-subtracted incremental loss - the nonzero 'Initial' values reflect subcrestal placement depth, not measurement error; true incremental loss at t = value(t) minus value(Initial).",derived-md(avg of 2 surfaces)
W4402521422,39329858,long,mandible,ungrafted,0,15,0.475,0.554,6.5,"3.30-4.00 (mixed: 3x3.30,5x3.50,2x3.75,5x4.00)",bone,0,6.5,"Implant placement (V2, time=0) = baseline; periapical radiographs also taken at the loading visit (V3, immediate or ~12wk delayed) and the 1-year follow-up (V4). A single experienced investigator took all radiographic bone-level measurements to reduce inter-observer variability.",derived-md(avg of 2 surfaces)
W4402521422,39329858,short,mandible,ungrafted,0,15,0.450,0.437,5.5,"3.00-4.25 (mixed: 1x3.00,3x3.30,2x3.50,5x3.75,3x4.00,1x4.25)",bone,0,5.5,"Implant placement (V2, time=0) = baseline; periapical radiographs also taken at the loading visit (V3, immediate or ~12wk delayed) and the 1-year follow-up (V4). A single experienced investigator took all radiographic bone-level measurements to reduce inter-observer variability.",derived-md(avg of 2 surfaces)
W4402521422,39329858,long,mandible,ungrafted,12,15,0.390,0.504,6.5,"3.30-4.00 (mixed: 3x3.30,5x3.50,2x3.75,5x4.00)",bone,0,6.5,"Implant placement (V2, time=0) = baseline; periapical radiographs also taken at the loading visit (V3, immediate or ~12wk delayed) and the 1-year follow-up (V4). A single experienced investigator took all radiographic bone-level measurements to reduce inter-observer variability.",derived-md(avg of 2 surfaces)
W4402521422,39329858,short,mandible,ungrafted,12,15,0.245,0.537,5.5,"3.00-4.25 (mixed: 1x3.00,3x3.30,2x3.50,5x3.75,3x4.00,1x4.25)",bone,0,5.5,"Implant placement (V2, time=0) = baseline; periapical radiographs also taken at the loading visit (V3, immediate or ~12wk delayed) and the 1-year follow-up (V4). A single experienced investigator took all radiographic bone-level measurements to reduce inter-observer variability.",derived-md(avg of 2 surfaces)
tay_usporedba_osteoimuno,34658370,short,mandible,ungrafted,36,30,0.125,0.515,4,,tissue,1.8,4,"Digital periapical radiograph (paralleling technique); distance from implant shoulder to first bone contact point, measured 'at baseline' (interpreted as time of prosthetic loading, since patients were recalled retrospectively after implants had already been functioning >=3 years) vs 36 months after prosthetic loading. Methods text (p.4) states site-specific bone loss was measured 'at mesial aspects' only, per cited prior-study convention - but Table 3 nonetheless reports BOTH mesial and distal values, contradicting the stated single-site methodology.",derived-md(avg of 2 surfaces)
tay_usporedba_osteoimuno,34658370,long,mandible,ungrafted,36,30,0.340,0.608,8,,tissue,1.8,8,"Digital periapical radiograph (paralleling technique); distance from implant shoulder to first bone contact point, measured 'at baseline' (interpreted as time of prosthetic loading, since patients were recalled retrospectively after implants had already been functioning >=3 years) vs 36 months after prosthetic loading. Methods text (p.4) states site-specific bone loss was measured 'at mesial aspects' only, per cited prior-study convention - but Table 3 nonetheless reports BOTH mesial and distal values, contradicting the stated single-site methodology.",derived-md(avg of 2 surfaces)
